Postcode,Electoral division,Per cent
6151,Swan,100
6152,Swan,100
6153,Tangney,100
6154,Tangney,100
6155,Canning,42.4
6155,Tangney,57.6
6156,Fremantle,29
6156,Tangney,71
6157,Fremantle,100
6158,Fremantle,100
6159,Fremantle,100
6160,Fremantle,100
6161,Fremantle,100
6162,Fremantle,100
6163,Fremantle,93
6163,Tangney,7
6164,Fremantle,100
6165,Brand,100
6166,Fremantle,100
6167,Brand,100
6168,Brand,100
6169,Brand,100
6170,Brand,100
6171,Brand,100
6172,Brand,100
6173,Brand,100
6174,Brand,100
6175,Brand,100
6176,Brand,100
6207,Canning,100
6208,Canning,100
6210,Brand,58
6210,Canning,42
6213,Canning,100
6214,Canning,100
6215,Canning,100
6218,Forrest,100
6220,Forrest,100
6221,Forrest,100
6223,Forrest,100
6224,Forrest,100
6225,Forrest,100
6226,Forrest,100
6227,Forrest,100
6228,Forrest,100
6229,Forrest,100
6230,Forrest,100
6232,Forrest,100
6233,Forrest,100
6236,Forrest,100
6237,Forrest,100
6239,Forrest,100
6240,Forrest,100
6243,Forrest,100
6244,O'Connor,100
6251,Forrest,100
6252,Forrest,100
6253,Forrest,100
6254,Forrest,100
6255,Forrest,100
6256,Forrest,100
6258,Forrest,100
6260,Forrest,100
6262,Forrest,100
6271,Forrest,100
6275,Forrest,100
6280,Forrest,100
6281,Forrest,100
6282,Forrest,100
6284,Forrest,100
6285,Forrest,100
6286,Forrest,100
6288,Forrest,100
6290,Forrest,100
6302,Pearce,100
6304,Pearce,100
6306,O'Connor,11.6
6306,Pearce,88.4
6308,Pearce,100
6309,Pearce,100
6311,Pearce,100
6312,Pearce,100
6313,Pearce,100
6315,O'Connor,100
6316,O'Connor,100
6317,O'Connor,100
6318,O'Connor,100
6320,O'Connor,100
6321,O'Connor,100
6322,O'Connor,100
6323,O'Connor,100
6324,O'Connor,100
6326,O'Connor,100
6327,O'Connor,100
6328,O'Connor,100
6330,O'Connor,100
6333,O'Connor,100
6335,O'Connor,100
6336,O'Connor,100
6337,O'Connor,100
6338,O'Connor,100
6341,O'Connor,100
6343,O'Connor,100
6346,O'Connor,100
6348,O'Connor,100
6350,O'Connor,100
6351,O'Connor,100
6352,O'Connor,100
6353,O'Connor,100
6355,O'Connor,100
6356,O'Connor,100
6357,O'Connor,100
6358,O'Connor,100
6359,O'Connor,100
6361,O'Connor,100
6363,O'Connor,100
6365,O'Connor,100
6367,O'Connor,100
6368,O'Connor,100
6369,O'Connor,100
6370,O'Connor,100
6372,O'Connor,100
6373,O'Connor,100
6375,O'Connor,100
6383,O'Connor,100
6384,O'Connor,100
6385,O'Connor,100
6386,O'Connor,100
6390,Pearce,100
6391,Pearce,100
6392,O'Connor,100
6393,O'Connor,100
6394,O'Connor,100
6395,O'Connor,100
6396,O'Connor,100
6397,O'Connor,100
6398,Forrest,100
6401,Pearce,100
6403,Pearce,100
6405,O'Connor,100
6407,O'Connor,100
6409,O'Connor,100
6410,O'Connor,100
6411,O'Connor,100
6412,Kalgoorlie,100
6413,Kalgoorlie,100
6414,Kalgoorlie,100
6415,Kalgoorlie,100
6417,O'Connor,100
6418,O'Connor,100
6419,O'Connor,100
6420,Kalgoorlie,100
6421,Kalgoorlie,100
6422,Kalgoorlie,100
6423,Kalgoorlie,100
6424,Kalgoorlie,100
6425,Kalgoorlie,100
6426,Kalgoorlie,100
6427,Kalgoorlie,100
6428,O'Connor,100
6429,Kalgoorlie,100
6430,Kalgoorlie,100
6432,Kalgoorlie,100
6434,Kalgoorlie,100
6436,Kalgoorlie,100
6437,Kalgoorlie,100
6438,Kalgoorlie,100
6439,Kalgoorlie,100
6440,Kalgoorlie,100
6442,Kalgoorlie,100
6443,Kalgoorlie,100
6444,Kalgoorlie,100
6445,Kalgoorlie,100
6446,Kalgoorlie,100
6447,Kalgoorlie,100
6450,Kalgoorlie,99.1
6450,O'Connor,0.9
6452,Kalgoorlie,100
6460,O'Connor,100
6461,O'Connor,100
6462,O'Connor,100
6463,O'Connor,100
6464,O'Connor,100
6465,O'Connor,100
6466,O'Connor,100
6467,O'Connor,100
6468,O'Connor,100
6470,O'Connor,100
6472,O'Connor,100
6473,O'Connor,100
6475,O'Connor,100
6476,O'Connor,100
6477,O'Connor,100
6479,O'Connor,100
6480,Kalgoorlie,100
6484,Kalgoorlie,100
6485,O'Connor,100
6487,O'Connor,100
6488,O'Connor,100
6489,O'Connor,100
6490,O'Connor,100
6501,Pearce,100
6502,Pearce,100
6503,Pearce,100
6504,Pearce,100
6505,Pearce,100
6506,O'Connor,100
6507,O'Connor,100
6509,O'Connor,100
6510,O'Connor,100
6511,O'Connor,100
6512,O'Connor,100
6513,O'Connor,100
6514,O'Connor,100
6515,O'Connor,100
6516,O'Connor,100
6517,O'Connor,100
6518,O'Connor,100
6519,O'Connor,100
6521,O'Connor,100
6522,O'Connor,100
6525,O'Connor,100
6528,O'Connor,100
6530,O'Connor,100
6532,Kalgoorlie,30.7
6532,O'Connor,69.3
6535,Kalgoorlie,100
6536,Kalgoorlie,100
6537,Kalgoorlie,100
6556,Pearce,100
6558,Pearce,100
6560,Pearce,100
6562,Pearce,100
6564,Pearce,100
6566,Pearce,100
6567,Pearce,100
6568,O'Connor,100
6569,O'Connor,100
6571,O'Connor,100
6572,O'Connor,100
6574,O'Connor,100
6575,O'Connor,100
6603,O'Connor,100
6605,O'Connor,100
6606,O'Connor,100
6608,O'Connor,100
6609,O'Connor,100
6612,Kalgoorlie,100
6613,O'Connor,100
6614,O'Connor,100
6616,O'Connor,100
6618,O'Connor,100
6620,O'Connor,100
6623,O'Connor,100
6625,O'Connor,100
6627,O'Connor,100
6628,Kalgoorlie,100
6630,Kalgoorlie,100
6631,Kalgoorlie,100
6632,Kalgoorlie,100
6635,Kalgoorlie,100
6638,Kalgoorlie,100
6639,Kalgoorlie,100
6640,Kalgoorlie,100
6642,Kalgoorlie,100
6646,Kalgoorlie,100
6701,Kalgoorlie,100
6705,Kalgoorlie,100
6707,Kalgoorlie,100
6710,Kalgoorlie,100
6711,Kalgoorlie,100
6712,Kalgoorlie,100
6713,Kalgoorlie,100
6714,Kalgoorlie,100
6715,Kalgoorlie,100
6716,Kalgoorlie,100
6718,Kalgoorlie,100
6720,Kalgoorlie,100
6721,Kalgoorlie,100
6722,Kalgoorlie,100
6723,Kalgoorlie,100
6725,Kalgoorlie,100
6726,Kalgoorlie,100
6728,Kalgoorlie,100
6731,Kalgoorlie,100
6733,Kalgoorlie,100
6740,Kalgoorlie,100
6743,Kalgoorlie,100
6751,Kalgoorlie,100
6753,Kalgoorlie,100
6754,Kalgoorlie,100
6758,Kalgoorlie,100
6760,Kalgoorlie,100
6761,Kalgoorlie,100
6762,Kalgoorlie,100
6765,Kalgoorlie,100
6770,Kalgoorlie,100
6798,Lingiari,100
6799,Lingiari,100
7000,Denison,100
7004,Denison,100
7005,Denison,100
7007,Denison,100
7008,Denison,100
7009,Denison,100
7010,Denison,100
7011,Denison,100
7012,Denison,100
7015,Franklin,100
7016,Franklin,100
7017,Franklin,72
7017,Lyons,28
7018,Franklin,100
7019,Franklin,100
7020,Franklin,100
7021,Franklin,100
7022,Franklin,100
7023,Franklin,100
7024,Franklin,100
7025,Lyons,100
7026,Lyons,100
7027,Lyons,100
7030,Denison,5.3
7030,Franklin,48.7
7030,Lyons,46
7050,Denison,2.6
7050,Franklin,97.4
7052,Franklin,100
7053,Denison,87.6
7053,Franklin,12.4
7054,Denison,14.1
7054,Franklin,85.9
7055,Franklin,100
7109,Franklin,100
7112,Franklin,100
7113,Franklin,100
7116,Franklin,100
7117,Franklin,100
7119,Lyons,100
7120,Lyons,100
7139,Lyons,100
7140,Lyons,100
7150,Franklin,100
7155,Franklin,100
7162,Franklin,100
7163,Franklin,100
7170,Franklin,100
7171,Lyons,100
7172,Lyons,100
7173,Lyons,100
7174,Lyons,100
7175,Lyons,100
7176,Lyons,100
7177,Lyons,100
7178,Lyons,100
7179,Lyons,100
7180,Lyons,100
7182,Lyons,100
7183,Lyons,100
7184,Lyons,100
7185,Lyons,100
7186,Lyons,100
7187,Lyons,100
7190,Lyons,100
7209,Lyons,100
7210,Lyons,100
7211,Lyons,100
7212,Bass,12.5
7212,Lyons,87.5
7213,Lyons,100
7214,Lyons,100
7215,Lyons,100
7216,Lyons,100
7248,Bass,100
7249,Bass,100
7250,Bass,100
7252,Bass,100
7253,Bass,100
7254,Bass,100
7255,Bass,100
7256,Braddon,100
7257,Bass,100
7258,Bass,77.3
7258,Lyons,22.7
7259,Bass,100
7260,Bass,100
7261,Bass,100
7262,Bass,100
7263,Bass,100
7264,Bass,68.8
7264,Lyons,31.2
7265,Bass,100
7267,Bass,100
7268,Bass,100
7270,Lyons,100
7275,Lyons,100
7276,Lyons,100
7277,Bass,56.3
7277,Lyons,43.7
7290,Lyons,100
7291,Lyons,100
7292,Lyons,100
7300,Lyons,100
7301,Lyons,100
7302,Lyons,100
7303,Lyons,100
7304,Lyons,100
7305,Lyons,100
7306,Lyons,100
7307,Braddon,100
7310,Braddon,97.2
7310,Lyons,2.8
7315,Braddon,100
7316,Braddon,100
7320,Braddon,100
7321,Braddon,93.5
7321,Lyons,6.5
7322,Braddon,100
7325,Braddon,100
7330,Braddon,100
7331,Braddon,100
7466,Lyons,100
7467,Lyons,100
7468,Lyons,100
7469,Lyons,100
7470,Lyons,100
